x,y,l_button_down,stamp
178,258,0,2039997845
178,258,0,2060002853
178,258,0,2080091323
178,258,0,2099996670
178,258,0,2119995161
178,258,0,2139994070
178,258,0,2160019814
178,258,0,2180034566
178,258,0,2199990837
178,258,0,2220000859
178,258,0,2239990582
178,258,0,2260000141
178,258,0,2280028744
153,231,1,2299996250
153,231,1,2320016339
153,230,1,2339990203
153,230,1,2359989905
154,230,1,2379992125
160,227,1,2400025342
166,226,1,2419996229
174,226,1,2440024831
179,226,1,2460077188
181,226,1,2479991494
182,226,1,2500063055
182,228,1,2519988897
182,228,1,2539990577
182,229,0,2560048677
182,229,0,2579998266
182,229,0,2599989563
182,229,0,2619987212
182,229,0,2640000554
182,229,0,2660004515
182,229,0,2680127655
182,229,0,2700005012
182,229,0,2720004949
182,229,0,2739989277
182,229,0,2760038873
203,211,1,2780041224
203,211,1,2800000538
201,215,1,2820006397
200,220,1,2839999741
199,228,1,2860010607
197,234,1,2880040510
197,241,1,2900042309
196,244,1,2920007626
196,247,1,2940040478
196,248,1,2960048992
196,248,1,2980014834
197,244,1,2999982470
202,226,1,3019985605
202,216,1,3039983143
206,205,1,3059978006
206,203,1,3079987610
206,203,1,3100002024
206,203,1,3120005347
206,203,1,3144633054
207,205,1,3160002411
208,217,1,3179997582
209,225,1,3200042853
212,235,1,3219989203
217,243,1,3239984257
220,247,1,3259984776
222,249,1,3280028358
222,249,1,3300024502
225,246,1,3320045012
229,236,1,3340008180
235,222,1,3360011774
239,217,1,3380004808
244,211,1,3400012882
245,209,1,3420002505
245,208,1,3440003138
245,208,1,3459999285
245,208,1,3479999396
245,209,1,3500037040
244,220,1,3520046715
244,228,1,3540134729
244,234,1,3559998621
243,242,1,3580002484
242,247,1,3600006342
241,255,1,3620042472
241,256,1,3640009547
241,256,1,3659993418
241,256,1,3680070640
242,249,1,3700003699
242,247,0,3720004403
242,247,0,3739998188
242,247,0,3760093901
242,247,0,3780069239
242,247,0,3800022854
242,247,0,3819988554
242,247,0,3840012439
242,247,0,3859981812
242,247,0,3879991965
242,247,0,3900019621
242,247,0,3919988319
242,247,0,3940007945
242,247,0,3960001662
242,247,0,3980008537
242,247,0,4000122577
242,247,0,4020007429
242,247,0,4039989528
242,247,0,4059979530
242,247,0,4079975631
242,247,0,4099975739
242,247,0,4120001904
242,247,0,4139995301
242,247,0,4160010614
242,247,0,4180004540
242,247,0,4200002831
242,247,0,4219990056
242,247,0,4239978446
242,247,0,4259979566
242,247,0,4279976477
266,204,1,4299978713
266,204,1,4319980386
266,204,1,4339990481
266,206,1,4360020980
266,212,1,4380001429
266,218,1,4400262623
264,224,1,4420105016
262,230,1,4440002159
262,231,1,4460001105
262,231,1,4480004160
262,231,1,4500001755
261,232,1,4520043502
261,234,1,4540008480
260,236,1,4560042528
260,237,1,4580046532
260,237,1,4599995210
260,237,0,4620084749
260,237,0,4640028837
260,237,0,4659982176
260,237,0,4679981510
260,237,0,4699984718
260,237,0,4719985485
260,237,0,4739986092
260,237,0,4759981699
260,237,0,4780003690
260,237,0,4800018428
260,237,0,4820142278
260,237,0,4840046175
260,237,0,4860027686
260,237,0,4880009836
260,237,0,4900016312
260,237,0,4920047417
260,237,0,4939994008
259,197,1,4959980259
259,197,1,4979978303
262,196,1,4999979744
266,194,1,5019979774
